name|position|times_top_10|times_top_20|times_top_30|points_scored|draft_auction_value
Taiwan Jones|RB|0|0|1|0.0|0
Jacquizz Rodgers|RB|0|0|1|0.0|0
Nick Bellore|RB|0|0|1|2.5|0
Doug Martin|RB|0|0|1|0.0|0
Lamar Miller|RB|0|0|1|0.0|0
Melvin Gordon|RB|2|3|4|74.6|23
T.J. Yeldon|RB|0|0|1|17.5|0
Troymaine Pope|RB|0|0|1|10.4|0
Jordan Wilkins|RB|0|0|1|19.2|0
Darrel Williams|RB|0|2|2|38.900000000000006|0
Reggie Bonnafon|RB|0|1|1|17.5|0
Jeff Wilson Jr.|RB|0|2|2|32.50000000000001|0
Brian Hill|RB|0|0|1|12.4|0
Alec Ingold|RB|1|1|1|8.5|0
C.J. Ham|RB|0|1|1|16.0|0
Benny Snell Jr.|RB|0|0|1|13.700000000000001|0
